³¤¶È,X,Y,ORIG_FID,
6.753439,-39.0526,4.547029,71,
6.753439,-39.0526,-2.206399,71,
6.753439,-39.0526,4.547029,72,
6.753439,-39.0526,11.300499,72,
10.8535,-49.906101,-2.206399,73,
10.8535,-39.0526,-2.206399,73,
12.621999,-39.0526,-2.206399,74,
12.621999,-26.430599,-2.206399,74,
9.454299,-4.372839,-2.206399,75,
9.454299,5.08147,-2.206399,75,
7.364089,5.08147,-2.206399,76,
7.364089,5.08147,5.15768,76,
0.562844,5.08147,5.15768,77,
0.562844,4.51862,5.15768,77,
3.47303,-4.372839,11.300499,78,
3.47303,-0.89981,11.300499,78,
0.897723,-0.89981,11.300499,79,
0.897723,-0.89981,12.1982,79,
5.981279,-0.89981,11.300499,80,
5.981279,5.08147,11.300499,80,
6.142789,5.08147,11.300499,81,
6.142789,5.08147,5.15768,81,
14.0993,5.08147,11.300499,82,
14.0993,19.180799,11.300499,82,
13.506899,19.180799,11.300499,83,
13.506899,19.180799,-2.206399,83,
14.0232,5.08147,-2.206399,84,
14.0232,5.08147,-16.2296,84,
14.0993,5.08147,-16.2296,85,
14.0993,19.180799,-16.2296,85,
8.936249,19.180799,-16.2296,86,
8.936249,19.180799,-7.29336,86,
6.92535,19.180799,-7.29336,87,
6.92535,26.1061,-7.29336,87,
6.94946,19.180799,-7.29336,88,
6.94946,12.2313,-7.29336,88,
5.086949,19.180799,-7.29336,89,
5.086949,19.180799,-2.206399,89,
6.653399,11.7349,-2.206399,90,
6.653399,5.08147,-2.206399,90,
2.53617,11.7349,6.25257,91,
2.53617,11.7349,3.716399,91,
0.657347,11.7349,3.716399,92,
0.657347,12.3922,3.716399,92,
5.92281,11.7349,3.716399,93,
5.92281,11.7349,-2.206399,93,
7.445919,11.7349,-2.206399,94,
7.445919,19.180799,-2.206399,94,
7.41972,19.180799,-2.206399,95,
7.41972,26.6005,-2.206399,95,
6.493259,26.6005,-2.206399,96,
6.493259,26.6005,4.286859,96,
12.5627,19.180799,11.300499,97,
12.5627,31.743499,11.300499,97,
5.54894,26.6005,-2.206399,98,
5.54894,32.149398,-2.206399,98,
6.844649,32.149398,-2.206399,99,
6.844649,32.149398,4.638249,99,
6.10018,32.149398,-2.206399,100,
6.10018,38.249599,-2.206399,100,
7.8719,38.249599,-2.206399,101,
7.8719,38.249599,5.66549,101,
0.541352,38.249599,5.66549,102,
0.541352,38.791,5.66549,102,
2.27919,38.249599,5.66549,103,
2.27919,38.249599,7.94468,103,
21.017299,38.249599,-2.206399,104,
21.017299,59.266998,-2.206399,104,
12.9687,19.180799,-16.2296,105,
12.9687,32.149398,-16.2296,105,
5.15004,32.149398,-16.2296,106,
5.15004,32.149398,-11.0796,106,
2.498009,32.149398,-11.0796,107,
2.498009,34.647399,-11.0796,107,
8.87316,32.149398,-11.0796,108,
8.87316,32.149398,-2.206399,108,
11.885899,-69.302696,-20.1877,109,
11.885899,-69.302696,-32.0736,109,
6.75048,-18.0506,4.54999,110,
6.75048,-18.0506,11.300499,110,
6.75639,-18.0506,4.54999,111,
6.75639,-18.0506,-2.206399,111,
0.989373,32.149398,4.638249,112,
0.989373,31.1601,4.638249,112,
1.26407,26.6005,4.286859,113,
1.26407,25.336399,4.286859,113,
12.195799,-89.918998,36.650001,114,
12.195799,-89.918998,48.845699,114,
11.0873,-89.918998,48.845699,115,
11.0873,-78.831703,48.845699,115,
37.545299,-78.831703,48.845699,116,
37.545299,-78.831703,11.300499,116,
17.9333,-89.918998,18.716699,117,
17.9333,-89.918998,36.650001,117,
2.29743,-89.918998,36.650001,118,
2.29743,-92.216499,36.650001,118,
2.349669,-89.918998,18.716699,119,
2.349669,-92.268699,18.716699,119,
